category_id,subcategory_id,subcategory_name_en,subcategory_name_ja,slug,money_flow,stock_logic,status_of_review
infra,infra-03,"i-Construction 2.0, Construction Automation & Infrastructure DX",i-Construction 2.0・建設自動化・インフラDX,i-construction-2-0-construction-automation-and-infrastructure-dx,"This is a productivity policy backed by standards and procurement preference rather than a big subsidy. As public-works projects adopt these methods, demand flows to construction-equipment makers with machine-control technology, surveying and drone firms, and the software that runs 3D site data. Contractors that adopt the tools win work and protect margins as labor gets scarcer.","The policy is set; the question is adoption speed. Watch the rollout of i-Construction 2.0 requirements in public tenders and the uptake of automated and remote-controlled machinery. The check is the sales of machine-control and construction-software products, which show whether sites are actually automating.","reviewed (deep, bilingual)"
infra,infra-06,"Logistics 2024 Problem, Trucking Reform & Freight Productivity",物流2024年問題・トラック改革・貨物生産性,logistics-2024-problem-trucking-reform-and-freight-productivity,"The mechanism is pricing and efficiency, set by new rules rather than spending. The government published standard freight rates and made shippers responsible for cutting drivers' waiting time, which strengthens carriers' power to charge more. The beneficiaries are parcel and trucking firms with scale, warehouse-automation makers, logistics-property developers, and rail and shipping operators absorbing diverted freight.","This is the same force as the labor-side '2024 problem', viewed through infrastructure and freight. Watch standard-freight-rate increases, shipper-responsibility enforcement, and modal-shift incentives. The check is whether freight rates and carrier yields actually rise, and whether warehouse-automation orders grow.","reviewed (deep, bilingual)"
consumer,consumer-03,"Child Allowance, Birth Support & Family Income Transfers",児童手当・出産支援・家族向け所得移転,child-allowance-birth-support-and-family-income-transfers,"This is a direct transfer — government cash to families. Households spend it on the things children need, so the flow reaches baby and children's-goods makers, education and childcare services, family restaurants and retailers, and consumer-finance and insurance firms. The effect is broad rather than concentrated, lifting spending across family-oriented consumption.",The expansion is funded within the ¥3.6 trillion package and rolling out. Watch the timing of the child-allowance expansion and how families actually spend it. The honest check is whether the extra cash lifts consumption or birth rates — past cash programs elsewhere have boosted spending more reliably than they have raised births.,"reviewed (deep, bilingual)"
consumer,consumer-07,Inbound Tourism: Strategic Visitor Growth & Consumption Capture,インバウンド観光・戦略的訪日客拡大・消費取り込み,inbound-tourism-strategic-visitor-growth-and-consumption-capture,"This is demand creation rather than government spending. Visitors arrive and spend, and that money flows to airlines, airports, railways, hotels, department stores, drugstores, restaurants, and the payment firms that handle it. Policy supports the flow with promotion, easier travel, and (increasingly) a tourism levy to fund infrastructure, rather than direct subsidies to companies.","A record 42.7 million visitors came in 2025 and spent about ¥9.5 trillion; the 2030 target is 60 million visitors and ¥15 trillion of spending. The headline check is the monthly arrival and spending data from the tourism agencies. A second check is spending per visitor, since the policy is shifting from raw numbers toward higher-value, regionally dispersed tourism.","reviewed (deep, bilingual)"
consumer,consumer-11,"Cashless Payments, Merchant Digitization & Consumption Data",キャッシュレス決済・加盟店DX・消費データ,cashless-payments-merchant-digitization-and-consumption-data,"This is a target-and-standards policy, not spending. The government sets goals and encourages merchants to accept digital payments; the revenue flows privately to payment processors, card companies, code-payment operators, and the point-of-sale and retail firms that adopt them.","The cashless share reached 58.0% in 2025, against an interim goal of 65% by 2030 and a long-term goal of 80%. The headline check is the annual cashless ratio. A second check is processing-fee levels, since fees decide how much of the growing volume turns into profit for payment firms rather than savings for merchants.","reviewed (deep, bilingual)"
food,food-01,"Food Security, Self-Sufficiency & Supply Resilience",食料安全保障・自給率・供給強靱化,food-security-self-sufficiency-and-supply-resilience,"Policy works through the agriculture ministry's budget and a web of subsidies and targets rather than one headline cheque. The money and support reach food producers, grain handlers and trading houses, food wholesalers, cold-chain and logistics firms, and the makers of farm inputs. A flagship target is to roughly double agriculture, forestry, fishery, and food exports to ¥5 trillion by 2030.","This is the top-level anchor for the whole food category, so it is best read as the frame for the more specific food sub-themes. Watch the implementation of the 2025 Basic Plan and the self-sufficiency and export targets. The check is whether domestic production capacity and exports actually grow, or whether import dependence keeps rising.","reviewed (deep, bilingual)"
food,food-04,"Smart Agriculture, Robotics & Labor-Saving Farm Tech",スマート農業・ロボット・省力化農業技術,smart-agriculture-robotics-and-labor-saving-farm-tech,"The agriculture ministry funds and promotes adoption of these tools. The money and demand reach makers of agricultural machinery, drones and sensors, satellite-positioning and robotics firms, and farm-software providers. As farms consolidate into larger units, the case for buying this equipment strengthens.","This is a structural, demand-creating theme tied to the unavoidable aging of the farm workforce. Watch the smart-agriculture promotion measures and the adoption of autonomous machinery. The check is the sales of agricultural machinery and farm-management tools, which show whether the technology is actually being put to work on farms.","reviewed (deep, bilingual)"
food,food-06,"Sustainable Inputs: Pesticide Reduction, Organic Farming & Bio-Inputs",持続可能な投入（農薬削減・有機農業・バイオ資材）,sustainable-inputs-pesticide-reduction-organic-farming-and-bio-inputs,"This works mainly through targets, certification, and support for alternatives rather than a single large subsidy. As the rules and targets tighten, demand shifts toward bio-pesticides, biofertilizers, organic producers, testing and certification firms, and the agri-tech that lets farmers use fewer chemicals. Food manufacturers also invest in automation to meet productivity goals.","These are 2050 goals, so progress is gradual and worth checking against the targets rather than assuming delivery. The headline targets are organic farming on 1 million hectares (25% of farmland), a 50% cut in risk-weighted chemical-pesticide use, a 30% cut in chemical fertilizer, and at least a 30% productivity gain in food manufacturing by 2030. Watch the milestone reviews.","reviewed (deep, bilingual)"
food,food-08,"Food Exports, Japan Food Brands & Inbound Food Consumption",農林水産物・食品輸出・日本食ブランド・インバウンド食消費,food-exports-japan-food-brands-and-inbound-food-consumption,"This is promotion and target-setting rather than direct subsidy. The government promotes 'Japan brand' food, supports export logistics, and sets goals; the revenue flows to food and beverage makers with strong brands, seafood and seasoning exporters, packaging and cold-chain firms, and the trading houses that move the goods.","The 2025 Basic Plan targets ¥5 trillion of agriculture, forestry, fishery, and food exports by 2030, plus ¥4.5 trillion of food-related spending by foreign visitors in Japan. Watch export progress against that ¥5 trillion target. The check is the overseas-sales growth of the leading branded food and beverage makers, which shows whether the target is translating into actual demand.","reviewed (deep, bilingual)"
food,food-16,"Circular Economy, Recycling Infrastructure & Resource Autonomy",サーキュラーエコノミー・リサイクルインフラ・資源自律,circular-economy-recycling-infrastructure-and-resource-autonomy,"Policy combines regulation (rules that require recycling and better design) with a growth strategy that supports the businesses doing the work. The money and demand reach waste-management and recycling firms, metals-recovery and materials companies, sorting-equipment makers, and the industrial-services firms that run the loops.","The government wants the domestic circular-economy market to grow from about ¥50 trillion in 2020 to ¥80 trillion in 2030 and ¥120 trillion by 2050 — so the size, not just the principle, is the target. Watch the resource-autonomy strategy measures and recycling-capacity additions. The check is the revenue growth of recycling and metals-recovery firms toward that ¥80 trillion 2030 market.","reviewed (deep, bilingual)"
